"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Participant roster ID. NOTE: 9999999 denotes pooled sample.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Carnosine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Carnosine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 226.23246; MOLECULARFORMULA = C9H14N4O3; KEGG = ; MOLECULE = Carnosine; CAS = 7683-28-5; INCHIKEY = CQOVPNPJLQNMDC-UHFFFAOYSA-N; HMDB = ; CHEBI = 120157              ; IUPAC = 2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid; ISOMERIC = C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN; INCHI = InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16); MESH = Carnosine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Creatinine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Creatinine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 113.11788; MOLECULARFORMULA = C4H7N3O; KEGG = C00791; MOLECULE = Creatinine; CAS = 60-27-5; INCHIKEY = DDRJAANPRJIHGJ-UHFFFAOYSA-N; HMDB = HMDB00562           ; CHEBI = 16737               ; IUPAC = 2-amino-3-methyl-4H-imidazol-5-one; ISOMERIC = CN1CC(=O)N=C1N; INCHI = InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8); MESH = Creatinine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","DOPA","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Dihydroxyphenylalanine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = 3,4-Dihydroxyphenylalanin; MOLECULEWEIGHT = 197.18794; MOLECULARFORMULA = C9H11NO4; KEGG = ; MOLECULE = Dihydroxyphenyl-D-alanine; CAS = 5796-17-8; INCHIKEY = WTDRDQBEARUVNC-ZCFIWIBFSA-N; HMDB = ; CHEBI = 49169               ; IUPAC = (2R)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid; ISOMERIC = C1=CC(=C(C=C1C[C@H](C(=O)O)N)O)O; INCHI = InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m1/s1 ; MESH = Dihydroxyphenylalanine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Dopamine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Dopamine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 153.17844; MOLECULARFORMULA = C8H11NO2; KEGG = C03758; MOLECULE = Dopamine; CAS = 51-61-6; INCHIKEY = VYFYYTLLBUKUHU-UHFFFAOYSA-N; HMDB = HMDB00073           ; CHEBI = 18243               ; IUPAC = 4-(2-aminoethyl)benzene-1,2-diol; ISOMERIC = C1=CC(=C(C=C1CCN)O)O; INCHI = InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2; MESH = Dopamine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Histamine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Histamine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 111.14506; MOLECULARFORMULA = C5H9N3; KEGG = C00388; MOLECULE = Histamine; CAS = 51-45-6; INCHIKEY = NTYJJOPFIAHURM-UHFFFAOYSA-N; HMDB = HMDB00870           ; CHEBI = 18295               ; IUPAC = 2-(1H-imidazol-5-yl)ethanamine; ISOMERIC = C1=C(NC=N1)CCN; INCHI = InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8); MESH = Histamine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Kynurenine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Kynurenine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 208.21388; MOLECULARFORMULA = C10H12N2O3; KEGG = ; MOLECULE = D-Kynurenine; CAS = 13441-51-5; INCHIKEY = YGPSJZOEDVAXAB-MRVPVSSYSA-N; HMDB = ; CHEBI = ; IUPAC = (2R)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid; ISOMERIC = C1=CC=C(C(=C1)C(=O)C[C@H](C(=O)O)N)N; INCHI = InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m1/s1; MESH = Kynurenine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Met.SO","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Methionine-Sulfoxide","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 165.21074; MOLECULARFORMULA = C5H11NO3S; KEGG = C15999; MOLECULE = L-Methionine-(S)-Sulfoxide; CAS = ; INCHIKEY = QEFRNWWLZKMPFJ-MFXDVPHUSA-N; HMDB = ; CHEBI = 17016               ; IUPAC = (2S)-2-amino-4-[(S)-methylsulfinyl]butanoic acid; ISOMERIC = C[S@](=O)CC[C@@H](C(=O)O)N; INCHI = InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10-/m0/s1; MESH = methionine sulfoxide; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Nitro.Tyr","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Nitrotyrosine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 226.1861; MOLECULARFORMULA = C9H10N2O5; KEGG = ; MOLECULE = 2-Nitrotyrosine; CAS = ; INCHIKEY = RCZUDMZUWULMID-UHFFFAOYSA-N; HMDB = ; CHEBI = ; IUPAC = 2-amino-3-(4-hydroxy-2-nitrophenyl)propanoic acid; ISOMERIC = C1=CC(=C(C=C1O)[N+](=O)[O-])CC(C(=O)O)N; INCHI = InChI=1S/C9H10N2O5/c10-7(9(13)14)3-5-1-2-6(12)4-8(5)11(15)16/h1-2,4,7,12H,3,10H2,(H,13,14); MESH = 3-nitrotyrosine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","PEA","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Phenylethylamine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 121.17964; MOLECULARFORMULA = C8H11N; KEGG = ; MOLECULE = (1S)-Phenylethylamine; CAS = 2627-86-3; INCHIKEY = RQEUFEKYXDPUSK-ZETCQYMHSA-N; HMDB = ; CHEBI = 35321               ; IUPAC = (1S)-1-phenylethanamine; ISOMERIC = C[C@@H](C1=CC=CC=C1)N; INCHI = InChI=1S/C8H11N/c1-7(9)8-5-3-2-4-6-8/h2-7H,9H2,1H3/t7-/m0/s1; MESH = 1-phenethylamine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Putrescine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Putrescine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 88.15148; MOLECULARFORMULA = C4H12N2; KEGG = C00134; MOLECULE = Putrescine; CAS = 110-60-1; INCHIKEY = KIDHWZJUCRJVML-UHFFFAOYSA-N; HMDB = HMDB01414           ; CHEBI = 17148               ; IUPAC = butane-1,4-diamine; ISOMERIC = C(CCN)CN; INCHI = InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2; MESH = Putrescine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Sarcosine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Sarcosine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 89.09318; MOLECULARFORMULA = C3H7NO2; KEGG = C00213; MOLECULE = Sarcosine; CAS = 107-97-1; INCHIKEY = FSYKKLYZXJSNPZ-UHFFFAOYSA-N; HMDB = HMDB00271           ; CHEBI = 15611               ; IUPAC = 2-(methylamino)acetic acid; ISOMERIC = CNCC(=O)O; INCHI = InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6); MESH = Sarcosine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Serotonin","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Serotonin","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = created from QMF import; MOLECULEWEIGHT = 176.21508; MOLECULARFORMULA = C10H12N2O; KEGG = C00780; MOLECULE = Serotonin; CAS = 50-67-9; INCHIKEY = QZAYGJVTTNCVMB-UHFFFAOYSA-N; HMDB = HMDB00259           ; CHEBI = 28790               ; IUPAC = 3-(2-aminoethyl)-1H-indol-5-ol; ISOMERIC = C1=CC2=C(C=C1O)C(=CN2)CCN; INCHI = InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2; MESH = Serotonin; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Spermidine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Spermidine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 145.24586; MOLECULARFORMULA = C7H19N3; KEGG = C00315; MOLECULE = Spermidine; CAS = 124-20-9; INCHIKEY = ATHGHQPFGPMSJY-UHFFFAOYSA-N; HMDB = HMDB01257           ; CHEBI = 16610               ; IUPAC = N-(3-aminopropyl)butane-1,4-diamine; ISOMERIC = C(CCNCCCN)CN; INCHI = InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2; MESH = Spermidine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Spermine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Spermine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 202.34024; MOLECULARFORMULA = C10H26N4; KEGG = C00750; MOLECULE = Spermine; CAS = 71-44-3; INCHIKEY = PFNFFQXMRSDOHW-UHFFFAOYSA-N; HMDB = HMDB01256           ; CHEBI = 15746               ; IUPAC = N,N-bis(3-aminopropyl)butane-1,4-diamine; ISOMERIC = C(CCNCCCN)CNCCCN; INCHI = InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2; MESH = Spermine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","t4.OH.Pro","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","trans isomer of 4-hydroxyproline ","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Taurine","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Taurine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 125.14688; MOLECULARFORMULA = C2H7NO3S; KEGG = C00245; MOLECULE = Taurine; CAS = 107-35-7; INCHIKEY = XOAAWQZATWQOTB-UHFFFAOYSA-N; HMDB = HMDB00251           ; CHEBI = 15891               ; IUPAC = 2-aminoethanesulfonic acid; ISOMERIC = C(CS(=O)(=O)O)N; INCHI = InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6) ; MESH = Taurine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","SDMA","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Symmetric dimethylarginine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 202.25412; MOLECULARFORMULA = C8H18N4O2; KEGG = ; MOLECULE = L-Symmetric dimethylarginine; CAS = ; INCHIKEY = NWGZOALPWZDXNG-LURJTMIESA-N; HMDB = ; CHEBI = ; IUPAC = (2S)-5-(diaminomethylideneamino)-2-(dimethylamino)pentanoic acid; ISOMERIC = CN(C)[C@@H](CCCN=C(N)N)C(=O)O; INCHI = InChI=1S/C8H18N4O2/c1-12(2)6(7(13)14)4-3-5-11-8(9)10/h6H,3-5H2,1-2H3,(H,13,14)(H4,9,10,11)/t6-/m0/s1; MESH = Arginine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
